id,username,password,name,longitude,latitude,type,address,phone,available,open_hours,open_minutes,close_hours,close_minutes
0,xingxiangdao,666666,星饗道國際自助餐,24.182959,120.644968,(9)港式餐廳店,407台中市西屯區福星北路18號,427061618,1,8,0,21,0
1,19host,19,19號倉庫鐵板牛排(逢甲總店),24.181828,120.645689,(15)牛排店,407台中市西屯區西安街182號,424510005,1,11,0,21,30
2,chicken,888888,養機場義大利麵,24.181872,120.644573,(4)義式餐廳店,407台中市西屯區西安街167號,427011981,1,11,0,21,0
3,85c,8585,85度C,24.17499,120.648791,(8)飲料店,407台中市西屯區河南路二段282號,427065595,1,10,30,23,59
4,shengtian,878787,勝天定食,24.184903,120.644505,(3)日式風味店,407台中市西屯區福星北路57號,424525867,1,11,30,21,30
5,mian,mian,麵屋虎徹逢甲店,24.184578,120.645026,(3)日式風味店,407台中市西屯區福星北三街20號,424529459,1,11,30,21,30
6,skfds,56456,尊品原汁牛肉麵,24.175945,120.64423,(16)台式小吃店,407台中市西屯區文華路5巷30號,424520528,1,11,0,22,30
7,fxxhgh,5757,赤鬼炙燒牛排 逢甲店,24.175914,120.645367,(15)牛排店,407台中市西屯區文華路11號,424527277,1,12,0,1,0
8,sdsadf,456785,黑肉麵,24.172548,120.645606,(2)便當店,407台中市西屯區西屯路二段260-5號,424522789,1,11,0,20,0
9,asdqwd,48698,爭鮮迴轉壽司 逢甲店,24.173766,120.647131,(3)日式風味店,407台中市西屯區河南路二段358號,424516147,1,11,0,21,30
10,adsffe,486513,八方雲集 逢甲文華店,24.174432,120.644505,(16)台式小吃店,407台中市西屯區西屯路二段227號,427089033,1,11,0,21,0
11,asdfae,487931,吉峰蒸餃,24.182225,120.645042,(16)台式小吃店,407台中市西屯區福星路283號,424512985,1,11,0,23,0
12,asdawdw,4561,腦子有丼,24.182289,120.646201,(3)日式風味店,407台中市西屯區文華路207號,424518089,1,11,0,20,30
13,sada,457965,久享日式料理,24.182887,120.645161,(3)日式風味店,407台中市西屯區福星北路18號,424518887,1,18,0,0,30
14,asdha,488563,聯亭泡菜鍋,24.183343,120.644773,(17)火鍋店,407台中市福星北路29號,424515167,1,11,30,22,30
15,awda,158493,老先覺麻辣窯燒鍋,24.172335,120.637413,(17)火鍋店,407台中市西屯區黎明路三段56號,427081217,1,11,30,22,0
16,fsfe,98751,四海遊龍 黎明店,24.171646,120.636904,(16)台式小吃店,407台中市西屯區黎明路三段22號,424517837,1,9,0,22,0
17,asdwqf,1484,Tea-Top台灣第一味 朝馬店,24.171577,120.636885,(8)飲料店,407台中市西屯區黎明路三段20號,424514288,1,9,0,22,0
